,task,dataset,boot_iter,algorithm,scoring,n_trees,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
0,classification,breast-cancer,2,BART,AUC,300,None,0.6343304843304843,0.6439393939393939,21.485112190246582,5.724658250808716,0.8287488750000307,5.724585809000018,,
0,classification,breast-cancer,2,BART,AUC,500,None,0.6343304843304843,0.6439393939393939,35.466064453125,10.008073806762695,1.814413380000019,10.00636498800003,,
0,classification,breast-cancer,3,BART,AUC,10,None,0.6235042735042734,0.6439393939393939,0.7420778274536133,0.195540189743042,0.0455923619999794,0.195529213000043,,
0,classification,breast-cancer,3,BART,AUC,25,None,0.5941595441595442,0.5883838383838385,1.7598769664764404,0.49117302894592285,0.03325498999998899,0.4909201130000156,,
0,classification,breast-cancer,3,BART,AUC,50,None,0.6273504273504272,0.6439393939393939,3.3079946041107178,0.980191707611084,0.06872174900001937,0.9801894349999998,,
0,classification,breast-cancer,3,BART,AUC,75,None,0.621937321937322,0.6254208754208754,5.282515287399292,1.4484703540802002,0.46631629699999166,1.4481813920000377,,
0,classification,breast-cancer,3,BART,AUC,100,None,0.6273504273504272,0.6144781144781145,6.8589324951171875,1.9621772766113281,0.2831811259999881,1.961816720999991,,
0,classification,breast-cancer,3,BART,AUC,300,None,0.6311965811965812,0.6439393939393939,21.356412172317505,5.896343946456909,0.9553087369999957,5.895254754999996,,
0,classification,breast-cancer,3,BART,AUC,500,None,0.6311965811965812,0.6254208754208754,35.77312421798706,10.032095432281494,1.368599449000044,10.031898324999986,,
0,classification,breast-cancer,4,BART,AUC,10,None,0.6474358974358974,0.5732323232323233,0.7291505336761475,0.1976466178894043,0.04672580299995843,0.1976489930000298,,
0,classification,breast-cancer,4,BART,AUC,25,None,0.665954415954416,0.5656565656565656,1.9782381057739258,0.4940929412841797,0.26773548300002403,0.49407801300003484,,
0,classification,breast-cancer,4,BART,AUC,50,None,0.6975783475783477,0.5765993265993267,3.4941718578338623,0.9764420986175537,0.1336181870000246,0.9763755739999738,,
0,classification,breast-cancer,4,BART,AUC,75,None,0.7029914529914529,0.5505050505050506,5.121939420700073,1.443608045578003,0.1890265210000166,1.443614751000041,,
0,classification,breast-cancer,4,BART,AUC,100,None,0.7269230769230768,0.5765993265993267,6.906569719314575,1.9149985313415527,0.35025761499997543,1.9149132680000207,,
0,classification,breast-cancer,4,BART,AUC,300,None,0.7029914529914529,0.5765993265993267,21.10061550140381,5.803149700164795,0.9129793470000322,5.8030087700000195,,
0,classification,breast-cancer,4,BART,AUC,500,None,0.7176638176638176,0.5765993265993267,35.795705795288086,10.179485321044922,1.586637919999987,10.179252195000004,,
0,classification,breast-cancer,5,BART,AUC,10,None,0.6605413105413106,0.5513468013468014,0.8731732368469238,0.1948704719543457,0.15903013199999805,0.19485334300003387,,
0,classification,breast-cancer,5,BART,AUC,25,None,0.6713675213675213,0.5361952861952861,1.764477252960205,0.5000789165496826,0.03285676100000501,0.5001398250000193,,
0,classification,breast-cancer,5,BART,AUC,50,None,0.6991452991452991,0.5917508417508417,3.382835865020752,0.980290412902832,0.13574891500002195,0.9802775559999759,,
