task,dataset,boot_iter,algorithm,scoring,n_trees,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
classification,ionosphere,0,RF,AUC,75,None,1.0,0.9628571428571427,0.0543744564056396,0.0082123279571533,0.0543745200000103,0.0082128900000952,,
classification,ionosphere,0,RF-MTRY,AUC,75,"RandomForestClassifier(max_features=0.16599643392759197, n_estimators=75)",1.0,0.9628571428571427,0.0743224620819091,0.0082156658172607,0.7734487899999749,0.0082160000000612,3.4505109786987305,13.02500985000006
classification,ionosphere,0,RF-DEPTH,AUC,75,"RandomForestClassifier(max_depth=10, n_estimators=75)",0.9940476190476192,0.9628571428571427,0.0766873359680175,0.0080103874206542,0.6358939599999758,0.0080107999999654,2.9528958797454834,11.739950730000032
classification,ionosphere,0,HS-RF,AUC,75,50.0,0.9523809523809524,0.9628571428571427,0.0747413635253906,0.0081832408905029,0.0747423100000332,0.0081841100000019,1.275295972824097,1.2753298999999745
classification,ionosphere,0,BART,AUC,75,None,0.8776190476190475,0.91,5.33763599395752,2.462042570114136,0.3446938600000067,2.4612818200000675,,
classification,ionosphere,0,RF,AUC,100,None,1.0,0.9628571428571427,0.072174072265625,0.0107059478759765,0.0721742700000049,0.0107065800000327,,
classification,ionosphere,0,RF-MTRY,AUC,100,RandomForestClassifier(max_features=0.18710322969236284),1.0,0.9628571428571427,0.0920512676239013,0.0107626914978027,0.6562576599999375,0.0107599699999809,4.794599294662476,13.39483003099997
classification,ionosphere,0,RF-DEPTH,AUC,100,RandomForestClassifier(max_depth=15),1.0,0.9628571428571427,0.0932667255401611,0.0108819007873535,0.7926190000000588,0.0108823700001039,3.80078387260437,13.043749700000037
classification,ionosphere,0,HS-RF,AUC,100,10.0,0.988095238095238,0.9628571428571427,0.1010372638702392,0.011246919631958,0.1010406999999986,0.0112487099999043,1.7267768383026123,1.7262552600000165
classification,ionosphere,0,BART,AUC,100,None,0.8980952380952382,0.933809523809524,7.313520669937134,3.3638086318969727,0.4635063700000046,3.363687780000077,,
classification,ionosphere,0,RF,AUC,300,None,1.0,0.9628571428571427,0.2132060527801513,0.0314502716064453,0.2132004800000686,0.0314508400000477,,
classification,ionosphere,0,RF-MTRY,AUC,300,"RandomForestClassifier(max_features=0.10003325823590818, n_estimators=300)",1.0,0.9628571428571427,0.2081584930419922,0.0315606594085693,0.5666641300000492,0.0315613599999551,13.116542100906372,22.201438400999905
classification,ionosphere,0,RF-DEPTH,AUC,300,"RandomForestClassifier(max_depth=25, n_estimators=300)",1.0,0.9628571428571427,0.2317452430725097,0.0314817428588867,0.7911022599998887,0.0314827299999933,9.704250812530518,18.844990190999965
classification,ionosphere,0,HS-RF,AUC,300,1.0,1.0,0.9628571428571427,0.3008852005004883,0.0312390327453613,0.3008906500000421,0.0312397199999168,5.025466680526733,5.026260130999958
classification,ionosphere,0,BART,AUC,300,None,0.9159523809523812,0.9152380952380952,22.440418243408203,10.112536191940308,1.311365169999931,10.110469781000006,,
classification,ionosphere,0,RF,AUC,500,None,1.0,0.9628571428571427,0.3585941791534424,0.0522992610931396,0.3585906499999964,0.0522996800000328,,
classification,ionosphere,0,RF-MTRY,AUC,500,"RandomForestClassifier(max_features=0.15684571904400185, n_estimators=500)",1.0,0.9628571428571427,0.371633768081665,0.0518486499786376,0.7475981599999386,0.0518491899999844,21.157885313034058,30.690356581999936
classification,ionosphere,0,RF-DEPTH,AUC,500,"RandomForestClassifier(max_depth=27, n_estimators=500)",1.0,0.9628571428571427,0.3755197525024414,0.0518414974212646,0.9381458000000292,0.0518381499999804,15.498992919921877,24.17226476099995
classification,ionosphere,0,HS-RF,AUC,500,1.0,1.0,0.9628571428571427,0.4971017837524414,0.0526502132415771,0.4970924699999841,0.0526512599999478,8.675327777862549,8.67574480099995
classification,ionosphere,0,BART,AUC,500,None,0.91,0.933809523809524,37.33025813102722,16.498448133468628,1.99020416999997,16.49838752100004,,
classification,ionosphere,1,RF,AUC,10,None,0.9940476190476192,0.9071428571428573,0.0077650547027587,0.0013971328735351,0.0077647000000524,0.0013973999999734,,
classification,ionosphere,1,RF-MTRY,AUC,10,"RandomForestClassifier(max_features=0.23127353280696947, n_estimators=10)",0.9966666666666666,0.9123809523809524,0.0226809978485107,0.0018682479858398,0.2721868900000572,0.0223943100000951,1.1958484649658203,10.33459197000002
classification,ionosphere,1,RF-DEPTH,AUC,10,"RandomForestClassifier(max_depth=18, n_estimators=10)",1.0,0.8738095238095238,0.0104889869689941,0.0017657279968261,0.1258695500000612,0.0212000100000295,1.0855677127838137,10.070609552000064
classification,ionosphere,1,HS-RF,AUC,10,50.0,0.9695238095238096,0.9323809523809524,0.0107970237731933,0.0014286041259765,0.0107977899999696,0.0014291100000036,0.200667142868042,0.729658650000033
classification,ionosphere,1,BART,AUC,10,None,0.9107142857142856,0.8333333333333334,0.8022346496582031,0.363417387008667,0.0773023499999681,0.3634729100000413,,
classification,ionosphere,1,RF,AUC,25,None,1.0,0.9138095238095238,0.018977403640747,0.0031523704528808,0.0189771399999472,0.0031530600000451,,
classification,ionosphere,1,RF-MTRY,AUC,25,"RandomForestClassifier(max_features=0.1384814989045305, n_estimators=25)",1.0,0.9085714285714286,0.0246384143829345,0.0039560794830322,0.2954639000000725,0.047491089999994,1.841374397277832,10.811124599999973
classification,ionosphere,1,RF-DEPTH,AUC,25,"RandomForestClassifier(max_depth=19, n_estimators=25)",1.0,0.9138095238095238,0.0254738330841064,0.0039551258087158,0.3039829399999689,0.0474713999999494,1.6284584999084473,10.99903628000004
classification,ionosphere,1,HS-RF,AUC,25,10.0,0.9940476190476192,0.9138095238095238,0.0242218971252441,0.0029819011688232,0.0242226300000538,0.0029822300000432,0.4329593181610107,0.7789609500000552
classification,ionosphere,1,BART,AUC,25,None,0.8980952380952382,0.8371428571428571,1.715968370437622,0.8147132396697998,0.0558342199999515,0.8147255600000562,,
